PARK,PARK NUMBER,FACILITY NAME,FACILITY TYPE,X COORDINATE,Y COORDINATE,LOCATION
ABBOTT (ROBERT),259,PLAYGROUND,OUTDOOR,1178619.54153,1841712.82415,"(41.720959999999998, -87.621351000000004)"
ABBOTT (ROBERT),259,SENIOR CENTER,INDOOR,1178491.24651,1841782.61436,"(41.721153999999999, -87.621819000000002)"
ABBOTT (ROBERT),259,SPRAY FEATURE,OUTDOOR,1178475.8803999999,1841904.3723200001,"(41.721488999999998, -87.621871999999996)"
ABBOTT (ROBERT),259,SPRAY FEATURE,OUTDOOR,1178306.43389,1841899.4609099999,"(41.721479000000002, -87.622493000000006)"
ABBOTT (ROBERT),259,BASEBALL SR,OUTDOOR,1178678.4794000001,1841175.63001,"(41.719484000000001, -87.621151999999995)"
ABBOTT (ROBERT),259,BASEBALL SR,OUTDOOR,1178160.31705,1841164.5791799999,"(41.719465999999997, -87.623050000000006)"
ABBOTT (ROBERT),259,TENNIS COURT,OUTDOOR,1178080.5052100001,1841614.59436,"(41.720702000000003, -87.623328999999998)"
ABBOTT (ROBERT),259,TENNIS COURT,OUTDOOR,1178125.93655,1841614.59436,"(41.720700999999998, -87.623161999999994)"
ABBOTT (ROBERT),259,TRACK,OUTDOOR,1178253.6354400001,1840687.55061,"(41.718153999999998, -87.622722999999993)"
ABBOTT (ROBERT),259,VOLLEYBALL,OUTDOOR,1178064.5429700001,1841736.15383,"(41.721035999999998, -87.623383000000004)"
ADA (SAWYER GARRETT),45,BASKETBALL COURT,OUTDOOR,1169422.3975200001,1829549.48758,"(41.687784999999998, -87.655389)"
ADA (SAWYER GARRETT),45,BASKETBALL COURT,OUTDOOR,1169493.6477099999,1829549.48758,"(41.687784000000001, -87.655128000000005)"
ADA (SAWYER GARRETT),45,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1169846.94031,1829819.97523,"(41.688518000000002, -87.653827000000007)"
ADA (SAWYER GARRETT),45,FITNESS CENTER,INDOOR,1169213.8378999999,1829674.5824800001,"(41.688133000000001, -87.656148999999999)"
ADA (SAWYER GARRETT),45,GYMNASIUM,INDOOR,1169259.84831,1829709.55058,"(41.688228000000002, -87.65598)"
ADA (SAWYER GARRETT),45,BASEBALL JR/SOFTBALL,OUTDOOR,1169613.64747,1829930.1124799999,"(41.688825999999999, -87.654678000000004)"
ADA (SAWYER GARRETT),45,BASEBALL JR/SOFTBALL,OUTDOOR,1170170.5223399999,1829648.8623800001,"(41.688042000000003, -87.652647000000002)"
ADA (SAWYER GARRETT),45,POOL (OUTDOOR),OUTDOOR,1169233.02257,1829836.36234,"(41.688577000000002, -87.656074000000004)"
ADA (SAWYER GARRETT),45,PLAYGROUND,OUTDOOR,1169471.1474299999,1830010.7373200001,"(41.689050000000002, -87.655197000000001)"
ADA (SAWYER GARRETT),45,SPRAY FEATURE,OUTDOOR,1169296.7727699999,1829890.7372300001,"(41.688724999999998, -87.655839)"
ADA (SAWYER GARRETT),45,BASEBALL SR,OUTDOOR,1169619.2724599999,1829648.8623800001,"(41.688054000000001, -87.654666000000006)"
ADA (SAWYER GARRETT),45,BASEBALL SR,OUTDOOR,1170161.1473600001,1829937.61246,"(41.688834, -87.652672999999993)"
ADA (SAWYER GARRETT),45,TENNIS COURT,OUTDOOR,1169096.1478500001,1829556.9875700001,"(41.687812999999998, -87.656582999999998)"
ADA (SAWYER GARRETT),45,TENNIS COURT,OUTDOOR,1169144.89775,1829556.9875700001,"(41.687812000000001, -87.656405000000007)"
ADA (SAWYER GARRETT),45,TENNIS COURT,OUTDOOR,1169193.6476499999,1829558.86256,"(41.687815999999998, -87.656226000000004)"
ADA (SAWYER GARRETT),45,TENNIS COURT,OUTDOOR,1169240.52256,1829558.86256,"(41.687815000000001, -87.656054999999995)"
ADAMS (GEORGE & ADELE),1019,PLAYGROUND,OUTDOOR,1168844.82158,1913034.3862300001,"(41.916890000000002, -87.655091999999996)"
ADAMS (GEORGE & ADELE),1019,WATER PLAYGROUND,OUTDOOR,1168833.0207499999,1913119.27615,"(41.917122999999997, -87.655133000000006)"
AIELLO (JOHN),1280,PLAYGROUND PARK,OUTDOOR,1135835.1989500001,1913620.6960799999,"(41.919150999999999, -87.776356000000007)"
ALGONQUIN,1161,PLAYGROUND PARK,OUTDOOR,1157955.6258400001,1919624.3802700001,"(41.935201999999997, -87.694918000000001)"
ALTGELD (JOHN),206,BASKETBALL COURT,OUTDOOR,1158626.4227199999,1897407.80856,"(41.874225000000003, -87.693062999999995)"
ALTGELD (JOHN),206,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1158841.44952,1897443.1716799999,"(41.874316999999998, -87.692272000000003)"
ALTGELD (JOHN),206,FITNESS CENTER,INDOOR,1158551.92451,1897478.7418200001,"(41.874420999999998, -87.693333999999993)"
ALTGELD (JOHN),206,GYMNASIUM,INDOOR,1158566.8142500001,1897441.51715,"(41.874318000000002, -87.693280999999999)"
ALTGELD (JOHN),206,BASEBALL JR/SOFTBALL,OUTDOOR,1158933.1872,1897566.24755,"(41.874653000000002, -87.691931999999994)"
ALTGELD (JOHN),206,BASEBALL JR/SOFTBALL,OUTDOOR,1158939.92931,1897370.72694,"(41.874116000000001, -87.691913)"
ALTGELD (JOHN),206,POOL (OUTDOOR),OUTDOOR,1158543.83201,1897333.6456500001,"(41.874023000000001, -87.693368000000007)"
ALTGELD (JOHN),206,PLAYGROUND,OUTDOOR,1158556.4733899999,1897578.8889299999,"(41.874695000000003, -87.693314999999998)"
ALTGELD (JOHN),206,BASEBALL SR,OUTDOOR,1158711.5413200001,1897552.7633199999,"(41.874620999999998, -87.692746)"
AMUNDSEN (ROALD),129,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1135335.16386,1911724.0072900001,"(41.913955000000001, -87.778238999999999)"
AMUNDSEN (ROALD),129,FITNESS CENTER,INDOOR,1134788.7597699999,1911509.8548300001,"(41.913376999999997, -87.780251000000007)"
AMUNDSEN (ROALD),129,BASEBALL JR/SOFTBALL,OUTDOOR,1134794.1452599999,1911720.9731699999,"(41.913955999999999, -87.780225999999999)"
AMUNDSEN (ROALD),129,BASEBALL JR/SOFTBALL,OUTDOOR,1135079.70046,1911902.2526700001,"(41.914448999999998, -87.779173)"
AMUNDSEN (ROALD),129,BASEBALL JR/SOFTBALL,OUTDOOR,1135560.97279,1911883.0017200001,"(41.914386999999998, -87.777405000000002)"
AMUNDSEN (ROALD),129,BASEBALL JR/SOFTBALL,OUTDOOR,1135568.9941,1911459.4819,"(41.913224999999997, -87.777386000000007)"
AMUNDSEN (ROALD),129,PLAYGROUND,OUTDOOR,1134980.2374,1911523.65139,"(41.913412000000001, -87.779546999999994)"
AMUNDSEN (ROALD),129,SPRAY FEATURE,OUTDOOR,1135007.50933,1911481.94117,"(41.913297, -87.779448000000002)"
AMUNDSEN (ROALD),129,BASEBALL SR,OUTDOOR,1135158.3082399999,1911504.40044,"(41.913356, -87.778893999999994)"
ANDERSON (LOUIS),1020,BASKETBALL COURT,OUTDOOR,1178421.6990799999,1880016.74196,"(41.826073999999998, -87.620913999999999)"
ANDERSON (LOUIS),1020,BASKETBALL COURT,OUTDOOR,1178423.7059599999,1879940.0866,"(41.825864000000003, -87.620908999999997)"
ANDERSON (LOUIS),1020,GYMNASIUM,INDOOR,1178429.87524,1880090.42292,"(41.826276, -87.620881999999995)"
ANDERSON (LOUIS),1020,PLAYGROUND,OUTDOOR,1178496.7491200001,1879958.5481799999,"(41.825913, -87.620639999999995)"
ANDERSON (LOUIS),1020,SPRAY FEATURE,OUTDOOR,1178494.7422400001,1879904.7690900001,"(41.825764999999997, -87.620649)"
ANDERSONVILLE,1078,PLAYGROUND PARK,OUTDOOR,1164812.5579899999,1934962.8673099999,"(41.977148999999997, -87.669281999999995)"
ARCHER (WILLIAM BEATTY),250,BASEBALL SR,OUTDOOR,1147334.57195,1871246.4557,"(41.802658000000001, -87.735190000000003)"
ARCHER (WILLIAM BEATTY),250,BASKETBALL COURT,OUTDOOR,1147443.93557,1871687.2750299999,"(41.803865999999999, -87.734778000000006)"
ARCHER (WILLIAM BEATTY),250,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1147413.8755900001,1872098.31981,"(41.804994000000001, -87.734877999999995)"
ARCHER (WILLIAM BEATTY),250,FITNESS CENTER,INDOOR,1147357.01055,1871551.41178,"(41.803494000000001, -87.735100000000003)"
ARCHER (WILLIAM BEATTY),250,GYMNASIUM,INDOOR,1147336.94038,1871579.8441399999,"(41.803573, -87.735173000000003)"
ARCHER (WILLIAM BEATTY),250,HORSESHOE COURT,OUTDOOR,1147674.6007999999,1871207.75761,"(41.802545000000002, -87.733943999999994)"
ARCHER (WILLIAM BEATTY),250,BASEBALL JR/SOFTBALL,OUTDOOR,1147585.2669800001,1872001.9056299999,"(41.804726000000002, -87.734251999999998)"
ARCHER (WILLIAM BEATTY),250,BASEBALL JR/SOFTBALL,OUTDOOR,1147581.9018300001,1872138.1894799999,"(41.805100000000003, -87.734261000000004)"
ARCHER (WILLIAM BEATTY),250,BASEBALL JR/SOFTBALL,OUTDOOR,1147280.7315,1872309.80626,"(41.805577, -87.735360999999997)"
ARCHER (WILLIAM BEATTY),250,BASEBALL JR/SOFTBALL,OUTDOOR,1147524.69624,1871406.2946200001,"(41.803092999999997, -87.734488999999996)"
ARCHER (WILLIAM BEATTY),250,PLAYGROUND,OUTDOOR,1147593.6797,1871594.7365000001,"(41.803609000000002, -87.734230999999994)"
ARCHER (WILLIAM BEATTY),250,SPRAY FEATURE,OUTDOOR,1147567.3129499999,1871683.01782,"(41.803851000000002, -87.734325999999996)"
ARCHER (WILLIAM BEATTY),250,BASEBALL SR,OUTDOOR,1147312.6992899999,1871848.7966799999,"(41.804310999999998, -87.735254999999995)"
ARCHER (WILLIAM BEATTY),250,TENNIS COURT,OUTDOOR,1147660.98009,1871419.75489,"(41.803127000000003, -87.733988999999994)"
ARCHER (WILLIAM BEATTY),250,ARTIFICIAL TURF FIELD,OUTDOOR,1147664.3452399999,1871300.29614,"(41.802799, -87.733980000000003)"
ARCHER (WILLIAM BEATTY),250,WATER PLAYGROUND,OUTDOOR,1147359.8097600001,1871680.5447199999,"(41.803849, -87.735086999999993)"
ARMOUR (PHILIP) SQUARE,3,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1174927.14701,1882718.6109,"(41.833567000000002, -87.633654000000007)"
ARMOUR (PHILIP) SQUARE,3,FITNESS CENTER,INDOOR,1174563.14216,1882923.6967800001,"(41.834138000000003, -87.634983000000005)"
ARMOUR (PHILIP) SQUARE,3,GYMNASIUM,INDOOR,1174657.2505699999,1882898.8378999999,"(41.834068000000002, -87.634639000000007)"
ARMOUR (PHILIP) SQUARE,3,BASEBALL JR/SOFTBALL,OUTDOOR,1175016.6271500001,1882799.93456,"(41.833787999999998, -87.633323000000004)"
ARMOUR (PHILIP) SQUARE,3,BASEBALL JR/SOFTBALL,OUTDOOR,1175024.76755,1882572.9048299999,"(41.833165000000001, -87.633300000000006)"
ARMOUR (PHILIP) SQUARE,3,BASEBALL JR/SOFTBALL,OUTDOOR,1174806.78275,1882795.4119299999,"(41.833781000000002, -87.634092999999993)"
ARMOUR (PHILIP) SQUARE,3,POOL (OUTDOOR),OUTDOOR,1174611.41077,1882959.1265,"(41.834234000000002, -87.634805)"
ARMOUR (PHILIP) SQUARE,3,PLAYGROUND,OUTDOOR,1174832.10882,1882986.2616099999,"(41.834304000000003, -87.633994000000001)"
ARMOUR (PHILIP) SQUARE,3,VOLLEYBALL (SAND),OUTDOOR,1174659.34932,1882781.8443700001,"(41.833747000000002, -87.634634000000005)"
ARMOUR (PHILIP) SQUARE,3,SPRAY FEATURE,OUTDOOR,1174960.54786,1882972.6940599999,"(41.834263999999997, -87.633523999999994)"
ARMOUR (PHILIP) SQUARE,3,BASEBALL SR,OUTDOOR,1174834.8223900001,1882581.94976,"(41.833193999999999, -87.633996999999994)"
ARMOUR (PHILIP) SQUARE,3,TENNIS COURT,OUTDOOR,1174669.29877,1882517.73007,"(41.833022, -87.634606000000005)"
ARMOUR (PHILIP) SQUARE,3,TENNIS COURT,OUTDOOR,1174623.16927,1882515.01682,"(41.833015000000003, -87.634775000000005)"
ARMOUR (PHILIP) SQUARE,3,VOLLEYBALL,OUTDOOR,1174577.9443000001,1882515.92135,"(41.833019, -87.634940999999998)"
ARMSTRONG (LILLIAN HARDIN),492,BASKETBALL COURT,OUTDOOR,1181507.2700100001,1875801.1752599999,"(41.814436000000001, -87.609724)"
ARMSTRONG (LILLIAN HARDIN),492,BASKETBALL COURT,OUTDOOR,1181508.2201400001,1875735.61864,"(41.814256, -87.609722000000005)"
ARMSTRONG (LILLIAN HARDIN),492,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1181262.9050100001,1875648.72052,"(41.814022999999999, -87.610624999999999)"
ARMSTRONG (LILLIAN HARDIN),492,BASEBALL JR/SOFTBALL,OUTDOOR,1181153.8356699999,1875468.64279,"(41.813530999999998, -87.611030999999997)"
ARMSTRONG (LILLIAN HARDIN),492,BASEBALL JR/SOFTBALL,OUTDOOR,1181131.9836800001,1875821.12699,"(41.814498999999998, -87.611099999999993)"
ARMSTRONG (LILLIAN HARDIN),492,PLAYGROUND,OUTDOOR,1181512.9707800001,1875560.8017299999,"(41.813775999999997, -87.609710000000007)"
ARRIGO (VICTOR),215,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1167845.38919,1896587.2232600001,"(41.871778999999997, -87.659238999999999)"
ASHE (ARTHUR) BEACH,459,BEACH,OUTDOOR,1195954.26342,1857049.8679500001,"(41.762635000000003, -87.557351999999995)"
ASHE (ARTHUR) BEACH,459,PLAYGROUND,OUTDOOR,1195828.88014,1857026.6488399999,"(41.762574000000001, -87.557812999999996)"
ASHE (ARTHUR) BEACH,459,TENNIS COURT,OUTDOOR,1195701.17469,1856885.01198,"(41.762188999999999, -87.558285999999995)"
ASHE (ARTHUR) BEACH,459,TENNIS COURT,OUTDOOR,1195742.9692299999,1856916.74486,"(41.762275000000002, -87.558131000000003)"
ASHMORE,427,PLAYGROUND PARK,OUTDOOR,1143378.6129999999,1931714.44303,"(41.968663999999997, -87.748187000000001)"
ASPEN,321,PLAYGROUND PARK,OUTDOOR,1177557.1807899999,1876749.14646,"(41.817126999999999, -87.624184)"
ASTER,343,PLAYGROUND PARK,OUTDOOR,1168495.1287100001,1931153.5652099999,"(41.966616999999999, -87.655850999999998)"
ATHLETIC FIELD,80,BASKETBALL COURT,OUTDOOR,1151806.3553299999,1923875.8619200001,"(41.946992000000002, -87.717404999999999)"
ATHLETIC FIELD,80,BASEBALL JR/SOFTBALL,OUTDOOR,1151816.4498000001,1924048.30843,"(41.947465000000001, -87.717363000000006)"
ATHLETIC FIELD,80,BASEBALL JR/SOFTBALL,OUTDOOR,1151991.4195900001,1924293.0979599999,"(41.948134000000003, -87.716713999999996)"
ATHLETIC FIELD,80,BASEBALL JR/SOFTBALL,OUTDOOR,1151998.1492300001,1924049.9905099999,"(41.947465999999999, -87.716695999999999)"
ATHLETIC FIELD,80,PLAYGROUND,OUTDOOR,1151999.8316500001,1923861.56143,"(41.946948999999996, -87.716694000000004)"
ATHLETIC FIELD,80,TENNIS COURT,OUTDOOR,1151988.05477,1923938.11081,"(41.947158999999999, -87.716735999999997)"
ATHLETIC FIELD,80,TENNIS COURT,OUTDOOR,1151986.3723599999,1923986.0592100001,"(41.947291, -87.716740999999999)"
AUGUSTA (CARPENTER),1021,PLAYGROUND,OUTDOOR,1146428.2194300001,1906187.8740000001,"(41.898558999999999, -87.737624999999994)"
AUSTIN (HENRY),1204,PLAYGROUND,OUTDOOR,1136977.5372200001,1902168.3170799999,"(41.887703999999999, -87.772434000000004)"
AUSTIN (HENRY),1204,SPRAY FEATURE,OUTDOOR,1136587.0865499999,1902149.87913,"(41.887659999999997, -87.773869000000005)"
AUSTIN (HENRY),1204,WATER PLAYGROUND,OUTDOOR,1136447.17509,1902168.3170799999,"(41.887712999999998, -87.774382000000003)"
AUSTIN FOSTER,285,BASEBALL JR/SOFTBALL,OUTDOOR,1135100.31623,1934452.8657,"(41.976329999999997, -87.778560999999996)"
AUSTIN FOSTER,285,BASEBALL JR/SOFTBALL,OUTDOOR,1134908.14142,1934738.0527999999,"(41.977116000000002, -87.779261000000005)"
AUSTIN FOSTER,285,PLAYGROUND,OUTDOOR,1134990.39224,1934282.9831699999,"(41.975864999999999, -87.778969000000004)"
AUSTIN TOWN HALL,207,BASKETBALL COURT,OUTDOOR,1138687.26346,1902559.3369700001,"(41.888745999999998, -87.766146000000006)"
AUSTIN TOWN HALL,207,FITNESS CENTER,INDOOR,1138768.4988599999,1902448.3470300001,"(41.888440000000003, -87.76585)"
AUSTIN TOWN HALL,207,GYMNASIUM,INDOOR,1138767.1875100001,1902664.7199599999,"(41.889034000000002, -87.76585)"
AUSTIN TOWN HALL,207,POOL (INDOOR),INDOOR,1138769.1543699999,1902639.80433,"(41.888964999999999, -87.765843000000004)"
AUSTIN TOWN HALL,207,PLAYGROUND,OUTDOOR,1138861.39861,1902450.50254,"(41.888444, -87.765508999999994)"
AVALON,29,BASKETBALL COURT,OUTDOOR,1186206.92891,1849985.73116,"(41.743485999999997, -87.593299999999999)"
AVALON,29,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1185408.3757199999,1849288.54391,"(41.741591999999997, -87.596248000000003)"
AVALON,29,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1186006.93095,1849244.8399199999,"(41.741458000000002, -87.594055999999995)"
AVALON,29,FITNESS CENTER,INDOOR,1185968.9274200001,1850060.01513,"(41.743695000000002, -87.594170000000005)"
AVALON,29,GYMNASIUM,INDOOR,1185957.5265299999,1850012.5106299999,"(41.743564999999997, -87.594212999999996)"
AVALON,29,BASEBALL JR/SOFTBALL,OUTDOOR,1185664.8814399999,1849317.8512599999,"(41.741666000000002, -87.595307000000005)"
AVALON,29,BASEBALL JR/SOFTBALL,OUTDOOR,1185899.1234299999,1849414.64536,"(41.741925999999999, -87.594446000000005)"
AVALON,29,BASEBALL JR/SOFTBALL,OUTDOOR,1186129.49337,1849424.3248000001,"(41.741947000000003, -87.593602000000004)"
AVALON,29,BASEBALL JR/SOFTBALL,OUTDOOR,1186137.2371199999,1849085.5453000001,"(41.741016999999999, -87.593584000000007)"
AVALON,29,BASEBALL JR/SOFTBALL,OUTDOOR,1185906.8668500001,1849083.60928,"(41.741016999999999, -87.594427999999994)"
AVALON,29,BASEBALL JR/SOFTBALL,OUTDOOR,1185637.7791299999,1849104.9041800001,"(41.741081999999999, -87.595412999999994)"
AVALON,29,POOL (OUTDOOR),OUTDOOR,1185968.81522,1849736.0020000001,"(41.742806000000002, -87.594179999999994)"
AVALON,29,PLAYGROUND,OUTDOOR,1185782.9704400001,1849807.6298100001,"(41.743006999999999, -87.594859)"
AVALON,29,SPRAY FEATURE,OUTDOOR,1185949.45633,1849842.47554,"(41.743099000000001, -87.594247999999993)"
AVALON,29,BASEBALL SR,OUTDOOR,1185337.71707,1849042.95581,"(41.740918999999998, -87.596514999999997)"
AVALON,29,TENNIS COURT,OUTDOOR,1185134.44943,1849383.6713399999,"(41.741858999999998, -87.597249000000005)"
AVALON,29,TENNIS COURT,OUTDOOR,1185136.3854499999,1849279.1334899999,"(41.741571999999998, -87.597245000000001)"
AVALON,29,TENNIS COURT,OUTDOOR,1185087.9882400001,1849277.1978,"(41.741568000000001, -87.597421999999995)"
AVALON,29,TENNIS COURT,OUTDOOR,1185091.85995,1849153.30107,"(41.741228, -87.597412000000006)"
AVALON,29,TENNIS COURT,OUTDOOR,1185144.1288699999,1849155.23709,"(41.741231999999997, -87.597219999999993)"
AVALON,29,TENNIS COURT,OUTDOOR,1185144.1288699999,1849037.14808,"(41.740907999999997, -87.597223999999997)"
AVALON,29,TRACK,OUTDOOR,1186156.59601,1849871.5138699999,"(41.743174000000003, -87.593487999999994)"
AVONDALE,81,BASKETBALL COURT,OUTDOOR,1152341.6600299999,1921840.5693999999,"(41.941397000000002, -87.715491)"
AVONDALE,81,GYMNASTIC CENTER,INDOOR,1152384.01198,1921803.1239400001,"(41.941293000000002, -87.715337000000005)"
AVONDALE,81,GYMNASIUM,INDOOR,1152411.07229,1921801.8555699999,"(41.941288999999998, -87.715237000000002)"
AVONDALE,81,POOL (OUTDOOR),OUTDOOR,1152363.7941699999,1921956.15808,"(41.941713, -87.715406999999999)"
AVONDALE,81,PLAYGROUND,OUTDOOR,1152351.08751,1921887.7067799999,"(41.941526000000003, -87.715456000000003)"
AVONDALE,81,SPRAY FEATURE,OUTDOOR,1152468.72572,1921844.66815,"(41.941405000000003, -87.715024)"
BACK OF THE YARDS,1063,BASKETBALL COURT,OUTDOOR,1168403.1780999999,1871982.8613799999,"(41.804250000000003, -87.657900999999995)"
BACK OF THE YARDS,1063,HORSESHOE COURT,OUTDOOR,1168419.93759,1872097.7125299999,"(41.804564999999997, -87.657836000000003)"
BACK OF THE YARDS,1063,PLAYGROUND,OUTDOOR,1168277.4824900001,1872039.05483,"(41.804406999999998, -87.658360000000002)"
BACK OF THE YARDS,1063,SPRAY FEATURE,OUTDOOR,1168381.9822800001,1872069.1230200001,"(41.804487999999999, -87.657976000000005)"
BARAGA (FREDERICK),295,BASKETBALL COURT,OUTDOOR,1162031.3023999999,1887562.1638799999,"(41.847136999999996, -87.680835999999999)"
BARAGA (FREDERICK),295,PLAYGROUND PARK,OUTDOOR,1161944.6756,1887565.0041,"(41.847146000000002, -87.681154000000006)"
BARNARD (ERASTUS),1205,PLAYGROUND,OUTDOOR,1165427.7214599999,1835227.8571299999,"(41.703453000000003, -87.669853000000003)"
BARRETT (JOHN),1022,BASKETBALL COURT,OUTDOOR,1163156.8755999999,1889535.5398500001,"(41.852528, -87.676649999999995)"
BARRETT (JOHN),1022,PLAYGROUND,OUTDOOR,1163196.2524900001,1889468.6669600001,"(41.852344000000002, -87.676507000000001)"
BARTELME (MARY),542,PLAYGROUND,OUTDOOR,1170366.2785100001,1899552.90729,"(41.879863, -87.649896999999996)"
BARTELME (MARY),542,DOG FRIENDLY AREA,OUTDOOR,1170340.2723300001,1899409.60705,"(41.879469999999998, -87.649996000000002)"
BAULER (MATHIAS),365,PLAYGROUND,OUTDOOR,1172531.0589600001,1912827.6720799999,"(41.916241999999997, -87.641554999999997)"
BEEHIVE,328,PLAYGROUND PARK,OUTDOOR,1186524.7957299999,1864226.2289199999,"(41.782556, -87.591685999999996)"
BEILFUSS (A.W.),1003,BASEBALL JR/SOFTBALL,OUTDOOR,1150427.3561199999,1911343.11008,"(41.912627999999998, -87.722802000000001)"
BEILFUSS (A.W.),1003,PLAYGROUND,OUTDOOR,1150226.7453000001,1911267.5311700001,"(41.912424999999999, -87.723540999999997)"
"BELL (GEORGE,JR.)",121,BASKETBALL COURT,OUTDOOR,1130452.7658200001,1919409.45386,"(41.935130000000001, -87.795998999999995)"
"BELL (GEORGE,JR.)",121,BASEBALL JR/SOFTBALL,OUTDOOR,1130307.1086299999,1919756.48499,"(41.936084999999999, -87.796526)"
"BELL (GEORGE,JR.)",121,BASEBALL JR/SOFTBALL,OUTDOOR,1130460.72545,1919625.95047,"(41.935724, -87.795964999999995)"
"BELL (GEORGE,JR.)",121,PLAYGROUND,OUTDOOR,1130340.5380200001,1919400.69863,"(41.935108, -87.796412000000004)"
"BELL (GEORGE,JR.)",121,SPRAY FEATURE,OUTDOOR,1130421.7242099999,1919270.96004,"(41.934750999999999, -87.796115999999998)"
"BELL (GEORGE,JR.)",121,TENNIS COURT,OUTDOOR,1130472.6643999999,1919313.94093,"(41.934868000000002, -87.795928000000004)"
"BELL (GEORGE,JR.)",121,TENNIS COURT,OUTDOOR,1130323.0272299999,1919306.7775600001,"(41.934851000000002, -87.796477999999993)"
"BELL (GEORGE,JR.)",121,VOLLEYBALL,OUTDOOR,1130471.0725400001,1919520.0901200001,"(41.935433000000003, -87.795929000000001)"
BERGER (ALBERT),1255,CULTURAL CENTER,SPECIAL,1168609.09042,1941446.26018,"(41.994858000000001, -87.655131999999995)"
BERGER (ALBERT),1255,GALLERY,SPECIAL,1168599.0953599999,1941446.26018,"(41.994858000000001, -87.655169000000001)"
BERGER (ALBERT),1255,PLAYGROUND,OUTDOOR,1168656.1264200001,1941687.90766,"(41.995519999999999, -87.654951999999994)"
BESSEMER (HENRY),12,ARTIFICIAL TURF FIELD,OUTDOOR,1196446.9750399999,1845686.7204,"(41.731440999999997, -87.555923000000007)"
BESSEMER (HENRY),12,BASKETBALL COURT,OUTDOOR,1196083.7789100001,1846379.11928,"(41.733350000000002, -87.557231000000002)"
BESSEMER (HENRY),12,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1196090.0348,1846031.04583,"(41.732394999999997, -87.557219000000003)"
BESSEMER (HENRY),12,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1195928.4698399999,1846364.7131399999,"(41.733314999999997, -87.5578)"
BESSEMER (HENRY),12,GARDEN,OUTDOOR,1195582.34094,1846363.5228500001,"(41.733319999999999, -87.559067999999996)"
BESSEMER (HENRY),12,GYMNASIUM,INDOOR,1196227.7130100001,1846281.2710500001,"(41.733077999999999, -87.556707000000003)"
BESSEMER (HENRY),12,HANDBALL/RACQUET (OUT),OUTDOOR,1195778.2870700001,1846380.8348300001,"(41.733362999999997, -87.558350000000004)"
BESSEMER (HENRY),12,BASEBALL JR/SOFTBALL,OUTDOOR,1196235.63983,1845723.5054299999,"(41.731546999999999, -87.556696000000002)"
BESSEMER (HENRY),12,BASEBALL JR/SOFTBALL,OUTDOOR,1196221.7507499999,1845963.0889399999,"(41.732205, -87.556738999999993)"
BESSEMER (HENRY),12,BASEBALL JR/SOFTBALL,OUTDOOR,1195990.8479899999,1846140.1722500001,"(41.732697000000002, -87.557579000000004)"
BESSEMER (HENRY),12,BASEBALL JR/SOFTBALL,OUTDOOR,1195785.9868600001,1846122.81106,"(41.732653999999997, -87.558329999999998)"
BESSEMER (HENRY),12,POOL (OUTDOOR),OUTDOOR,1196404.0358200001,1846305.7644400001,"(41.733141000000003, -87.556060000000002)"
BESSEMER (HENRY),12,PLAYGROUND,OUTDOOR,1196378.9876399999,1846019.5012300001,"(41.732356000000003, -87.556161000000003)"
BESSEMER (HENRY),12,SPRAY FEATURE,OUTDOOR,1196434.45111,1845890.6829200001,"(41.732000999999997, -87.555961999999994)"
BESSEMER (HENRY),12,BASEBALL SR,OUTDOOR,1196031.8935199999,1845806.5931899999,"(41.731780000000001, -87.55744)"
BESSEMER (HENRY),12,BASEBALL SR,OUTDOOR,1195919.17753,1845928.25502,"(41.732117000000002, -87.557848000000007)"
BESSEMER (HENRY),12,TENNIS COURT,OUTDOOR,1196378.9876399999,1845570.4260100001,"(41.731124000000001, -87.556175999999994)"
BESSEMER (HENRY),12,TENNIS COURT,OUTDOOR,1196472.02321,1845572.21505,"(41.731126000000003, -87.555835000000002)"
BESSEMER (HENRY),12,TENNIS COURT,OUTDOOR,1196425.50526,1845572.21505,"(41.731127999999998, -87.556004999999999)"
BESSEMER (HENRY),12,TENNIS COURT,OUTDOOR,1196330.68065,1845570.4260100001,"(41.731124999999999, -87.556353000000001)"
BESSEMER (HENRY),12,TRACK,OUTDOOR,1195940.6473099999,1846423.8478600001,"(41.733477000000001, -87.557753000000005)"
BEVERLY,254,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1161415.01721,1836882.1021799999,"(41.708077000000003, -87.684500999999997)"
BEVERLY,254,BASEBALL JR/SOFTBALL,OUTDOOR,1161561.6291199999,1836688.0720599999,"(41.707540999999999, -87.683970000000002)"
BEVERLY,254,BASEBALL JR/SOFTBALL,OUTDOOR,1161545.1409700001,1837037.62057,"(41.708500999999998, -87.684021000000001)"
