PARK,PARK NUMBER,FACILITY NAME,FACILITY TYPE,X COORDINATE,Y COORDINATE,LOCATION
GRANT (ULYSSES),24,TENNIS COURT,OUTDOOR,1178217.1624100001,1896380.91429,"(41.870983000000003, -87.621166000000002)"
GRANT (ULYSSES),24,TENNIS COURT,OUTDOOR,1178261.89264,1896388.80797,"(41.871003999999999, -87.621002000000004)"
GROSS,1031,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1157379.46524,1932049.33868,"(41.969309000000003, -87.696697)"
FIELD (EUGENE),41,WETLAND AREA,OUTDOOR,1150223.2443200001,1934167.4975099999,"(41.975264000000003, -87.722954999999999)"
GOMPERS (SAMUEL),40,LAGOON,OUTDOOR,1147923.5789699999,1933658.6491100001,"(41.973913000000003, -87.731425000000002)"
GOMPERS (SAMUEL),40,WETLAND AREA,OUTDOOR,1148567.0255199999,1934128.1025700001,"(41.975188000000003, -87.729045999999997)"
HAAS (JOSEPH),1032,GYMNASIUM,INDOOR,1157914.68891,1915943.26,"(41.925102000000003, -87.695170000000005)"
HAAS (JOSEPH),1032,FITNESS CENTER,INDOOR,1157914.68891,1915993.66017,"(41.925240000000002, -87.695167999999995)"
HALE (NATHAN),234,BOCCE COURT,SPECIAL,1135662.3351199999,1863006.7192200001,"(41.780262, -87.778193999999999)"
HALE (NATHAN),234,BOCCE COURT,SPECIAL,1135677.1261,1863007.54107,"(41.780264000000003, -87.778138999999996)"
HAMILTON (ALEXANDER),9,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1173764.0551799999,1856926.90396,"(41.762818000000003, -87.638686000000007)"
HAMILTON (ALEXANDER),9,HANDBALL/RACQUET (OUT),OUTDOOR,1173885.6080799999,1856842.42086,"(41.762582999999999, -87.638243000000003)"
HAMILTON (ALEXANDER),9,HANDBALL/RACQUET (OUT),OUTDOOR,1173885.6080799999,1856804.6774899999,"(41.762479999999996, -87.638244)"
HAMILTON (ALEXANDER),9,GYMNASIUM,INDOOR,1174115.64175,1856937.1880600001,"(41.762838000000002, -87.637397000000007)"
HAMLIN (HANNIBAL),106,GYMNASIUM,INDOOR,1162082.42729,1920492.5606199999,"(41.937499000000003, -87.679727999999997)"
HAMLIN (HANNIBAL),106,BOXING CENTER,INDOOR,1162044.9365600001,1920435.3868499999,"(41.937342999999998, -87.679867000000002)"
HARRISON (CARTER),213,GYMNASIUM,INDOOR,1164458.0711699999,1891065.41344,"(41.856698999999999, -87.671830999999997)"
HARRISON (CARTER),213,BOXING CENTER,INDOOR,1164451.5147500001,1891134.25615,"(41.856887999999998, -87.671852999999999)"
HARRISON (CARTER),213,FITNESS CENTER,INDOOR,1164499.04877,1891109.66925,"(41.856819999999999, -87.671678999999997)"
HIAWATHA,229,HORSESHOE COURT,OUTDOOR,1121648.8654499999,1922338.09039,"(41.943314000000001, -87.828290999999993)"
HIAWATHA,229,HORSESHOE COURT,OUTDOOR,1121662.0977,1922338.09039,"(41.943313000000003, -87.828243000000001)"
HOLSTEIN,203,GYMNASIUM,INDOOR,1160715.82635,1914736.33919,"(41.921731999999999, -87.684910000000002)"
HORNER (HENRY),228,BASEBALL SR,OUTDOOR,1157298.4060200001,1927539.4897700001,"(41.956935000000001, -87.697118000000003)"
HORNER (HENRY),228,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1157520.22973,1927694.4146499999,"(41.957355999999997, -87.696297999999999)"
HORNER (HENRY),228,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1157527.27171,1927331.7500199999,"(41.956361000000001, -87.696281999999997)"
HOYNE (THOMAS),1036,HORSESHOE COURT,OUTDOOR,1162678.0104199999,1882049.52596,"(41.831995999999997, -87.678617000000003)"
HOYNE (THOMAS),1036,HORSESHOE COURT,OUTDOOR,1162691.6626200001,1882050.11946,"(41.831997000000001, -87.678567000000001)"
